ATH;Eleftherios Venizelos International Airport;Athens;Greece
BCN;Barcelona International Airport;Barcelona;Spain
CAN;Guangzhou Baiyun International Airport;Guangzhou;China
DME;Domodedovo International Airport;Moscow;Russia
FRA;Frankfurt am Main Airport;Frankfurt;Germany
FUK;Fukuoka Airport;Fukuoka;Japan
HND;Tokyo Haneda International Airport;Tokyo;Japan
JFK;John F Kennedy International Airport;New York;United States
LCA;Larnaca International Airport;Larnaca;Cyprus
LHR;London Heathrow Airport;London;United Kingdom
MAD;Adolfo Suarez Madrid-Barajas Airport;Madrid;Spain
MAN;Manchester Airport;Manchester;United Kingdom
ORY;Paris-Orly Airport;Paris;France
PFO;Paphos International Airport;Paphos;Cyprus
SFO;San Francisco International Airport;San Francisco;United States
SHA;Shanghai Hongqiao International Airport;Shanghai;China
SKG;Thessaloniki Macedonia International Airport;Thessaloniki;Greece
STR;Stuttgart Airport;Stuttgart;Germany
SVO;Sheremetyevo International Airport;Moscow;Russia
TLS;Toulouse-Blagnac Airport;Toulouse;France
