9C;CAN;SHA;320
CA;CAN;SHA;738
CZ;CAN;FUK;319
CZ;CAN;LHR;787
CZ;CAN;SHA;77W
CZ;CAN;SVO;333
FM;CAN;SHA;738
HO;CAN;SHA;320
MU;CAN;SHA;738
SU;CAN;SVO;333
ZH;CAN;SHA;737
;;;
9C;SHA;CAN;320
CA;SHA;CAN;738
CA;SHA;HND;777
CZ;SHA;CAN;333
FM;SHA;CAN;333
FM;SHA;HND;333
HO;SHA;CAN;320
JL;SHA;HND;767
MU;SHA;CAN;333
MU;SHA;HND;321
NH;SHA;HND;777
ZH;SHA;CAN;737
;;;
A3;LCA;ATH;320
AZ;LCA;ATH;320
CY;LCA;ATH;320
GF;LCA;ATH;320
US;LCA;ATH;320
S7;LCA;DME;738
AC;LCA;FRA;319
CY;LCA;FRA;320
LH;LCA;FRA;32A
AA;LCA;LHR;767
BA;LCA;LHR;767
CY;LCA;LHR;320
LS;LCA;MAN;73H
MT;LCA;MAN;321
TO;LCA;MAN;73H
BY;LCA;MAN;73H
ZB;LCA;MAN;321
A3;LCA;SKG;320
CY;LCA;SKG;320
CY;LCA;SVO;320
SU;LCA;SVO;321
;;;
FR;PFO;ATH;738
FR;PFO;MAN;738
FR;PFO;SKG;738
LS;PFO;MAN;73H
S7;PFO;DME;738
TO;PFO;MAN;73H
BY;PFO;MAN;73H
U2;PFO;MAN;320
UN;PFO;DME;763
ZB;PFO;MAN;321
;;;
AA;ORY;JFK;757
AB;ORY;LHR;319
AF;ORY;MAD;E90
AF;ORY;TLS;320
BA;ORY;JFK;752
BA;ORY;LHR;319
IB;ORY;BCN;320
IB;ORY;JFK;752
IB;ORY;LHR;319
IB;ORY;MAD;321
TO;ORY;ATH;73H
U2;ORY;ATH;320
U2;ORY;TLS;320
UX;ORY;MAD;E90
VY;ORY;BCN;320
;;;
AA;TLS;LHR;320
AF;TLS;ATH;320
AF;TLS;ORY;320
BA;TLS;LHR;320
ET;TLS;FRA;735
IB;TLS;BCN;320
IB;TLS;MAD;CRK
LH;TLS;FRA;321
LS;TLS;MAN;733
U2;TLS;ORY;320
VY;TLS;BCN;320
;;;
A3;FRA;ATH;321
A3;FRA;SKG;321
AA;FRA;LHR;320
