"319","Airbus A319","134"
"320","Airbus A320","150"
"321","Airbus A321","185"
"330","Airbus A330","293"
"332","Airbus A330-200","225"
"333","Airbus A330-300","283"
"346","Airbus A340-600","342"
"388","Airbus A380-800","525"
"AR8","Avro RJ85","112"
"737","Boeing 737","210"
"733","Boeing 737-300","148"
"735","Boeing 737-500","140"
"738","Boeing 737-800","175"
"744","Boeing 747-400","416"
"757","Boeing 757","240"
"752","Boeing 757-200","228"
"767","Boeing 767","174"
"763","Boeing 767-300","210"
"764","Boeing 767-400","243"
"777","Boeing 777","300"
"772","Boeing 777-200","313"
"773","Boeing 777-300","370"
"77W","Boeing 777-300ER","370"
"787","Boeing 787","267"
"788","Boeing 787-8","325"
"CRK","Canadair Regional Jet 1000","100"
"CR9","Canadair Regional Jet 900","88"
"E90","Embraer 190","95"
"32A","Airbus A320 (Sharklet)","210"
"32B","Airbus A321 (Sharklet)","180"
"32S","Airbus (A318/A318/A320/A321)","222"
"73H","Boeing 737-800 (73H)","160"
"75W","Boeing 757-200 (75W)","230"
"76W","Boeing 767-300ER (76W)","208"
